MonthYear,Station,Station_Type,Entry_Exit,Trip
2024-10-01 00:00:00.000,Cardiff  Station,Train,Exit,21459
2024-10-01 00:00:00.000,Caringbah  Station,Train,Entry,59803
2024-10-01 00:00:00.000,Caringbah  Station,Train,Exit,57111
2024-10-01 00:00:00.000,Carlton  Station,Train,Entry,65672
2024-10-01 00:00:00.000,Carlton  Station,Train,Exit,59861
2024-10-01 00:00:00.000,Carramar  Station,Train,Entry,14061
2024-10-01 00:00:00.000,Carramar  Station,Train,Exit,12442
2024-10-01 00:00:00.000,Castle Hill  Station,Metro,Entry,175641
2024-10-01 00:00:00.000,Castle Hill  Station,Metro,Exit,185396
2024-10-01 00:00:00.000,Casula  Station,Train,Entry,9678
2024-10-01 00:00:00.000,Casula  Station,Train,Exit,8543
2024-10-01 00:00:00.000,Central  Station,Metro Shared,Entry,2291227
2024-10-01 00:00:00.000,Central  Station,Metro Shared,Exit,2348040
2024-10-01 00:00:00.000,Chatswood  Station,Metro Shared,Entry,805775
2024-10-01 00:00:00.000,Chatswood  Station,Metro Shared,Exit,832389
2024-10-01 00:00:00.000,Cheltenham  Station,Train,Entry,20745
2024-10-01 00:00:00.000,Cheltenham  Station,Train,Exit,17446
2024-10-01 00:00:00.000,Cherrybrook  Station,Metro,Entry,113554
2024-10-01 00:00:00.000,Cherrybrook  Station,Metro,Exit,109075
2024-10-01 00:00:00.000,Chester Hill  Station,Train,Entry,27618
2024-10-01 00:00:00.000,Chester Hill  Station,Train,Exit,26191
2024-10-01 00:00:00.000,Circular Quay  Station,Train,Entry,596173
2024-10-01 00:00:00.000,Circular Quay  Station,Train,Exit,595492
2024-10-01 00:00:00.000,Clarendon  Station,Train,Entry,2523
2024-10-01 00:00:00.000,Clarendon  Station,Train,Exit,2506
2024-10-01 00:00:00.000,Clyde  Station,Train,Entry,24832
2024-10-01 00:00:00.000,Clyde  Station,Train,Exit,23978
2024-10-01 00:00:00.000,Coalcliff  Station,Train,Entry,462
2024-10-01 00:00:00.000,Coalcliff  Station,Train,Exit,557
2024-10-01 00:00:00.000,Cockle Creek  Station,Train,Entry,1257
2024-10-01 00:00:00.000,Cockle Creek  Station,Train,Exit,1363
2024-10-01 00:00:00.000,Coledale  Station,Train,Entry,924
2024-10-01 00:00:00.000,Coledale  Station,Train,Exit,856
2024-10-01 00:00:00.000,Como  Station,Train,Entry,15395
2024-10-01 00:00:00.000,Como  Station,Train,Exit,13129
2024-10-01 00:00:00.000,Concord West  Station,Train,Entry,49473
2024-10-01 00:00:00.000,Concord West  Station,Train,Exit,46366
2024-10-01 00:00:00.000,Coniston  Station,Train,Entry,5726
2024-10-01 00:00:00.000,Coniston  Station,Train,Exit,5100
2024-10-01 00:00:00.000,Corrimal  Station,Train,Entry,3220
2024-10-01 00:00:00.000,Corrimal  Station,Train,Exit,2918
2024-10-01 00:00:00.000,Cowan  Station,Train,Entry,1442
2024-10-01 00:00:00.000,Cowan  Station,Train,Exit,1594
2024-10-01 00:00:00.000,Cringila  Station,Train,Entry,239
2024-10-01 00:00:00.000,Cringila  Station,Train,Exit,349
2024-10-01 00:00:00.000,Cronulla  Station,Train,Entry,64696
2024-10-01 00:00:00.000,Cronulla  Station,Train,Exit,64400
2024-10-01 00:00:00.000,Crows Nest  Station,Metro,Entry,248311
2024-10-01 00:00:00.000,Crows Nest  Station,Metro,Exit,254341
2024-10-01 00:00:00.000,Croydon  Station,Train,Entry,55479
2024-10-01 00:00:00.000,Croydon  Station,Train,Exit,50024
2024-10-01 00:00:00.000,Dapto  Station,Train,Entry,11648
2024-10-01 00:00:00.000,Dapto  Station,Train,Exit,10503
2024-10-01 00:00:00.000,Denistone  Station,Train,Entry,13801
2024-10-01 00:00:00.000,Denistone  Station,Train,Exit,12078
2024-10-01 00:00:00.000,Domestic  Station,Train,Entry,250176
2024-10-01 00:00:00.000,Domestic  Station,Train,Exit,218602
2024-10-01 00:00:00.000,Doonside  Station,Train,Entry,67988
2024-10-01 00:00:00.000,Doonside  Station,Train,Exit,61413
2024-10-01 00:00:00.000,Dora Creek  Station,Train,Entry,972
2024-10-01 00:00:00.000,Dora Creek  Station,Train,Exit,864
2024-10-01 00:00:00.000,Douglas Park  Station,Train,Entry,462
2024-10-01 00:00:00.000,Douglas Park  Station,Train,Exit,467
2024-10-01 00:00:00.000,Dungog  Station,Train,Entry,527
2024-10-01 00:00:00.000,Dungog  Station,Train,Exit,427
2024-10-01 00:00:00.000,East Hills  Station,Train,Entry,20168
2024-10-01 00:00:00.000,East Hills  Station,Train,Exit,18435
2024-10-01 00:00:00.000,East Maitland  Station,Train,Entry,592
2024-10-01 00:00:00.000,East Maitland  Station,Train,Exit,533
2024-10-01 00:00:00.000,East Richmond  Station,Train,Entry,4481
2024-10-01 00:00:00.000,East Richmond  Station,Train,Exit,6109
2024-10-01 00:00:00.000,Eastwood  Station,Train,Entry,182879
2024-10-01 00:00:00.000,Eastwood  Station,Train,Exit,185588
2024-10-01 00:00:00.000,Edgecliff  Station,Train,Entry,203201
2024-10-01 00:00:00.000,Edgecliff  Station,Train,Exit,197946
2024-10-01 00:00:00.000,Edmondson Park  Station,Train,Entry,103485
2024-10-01 00:00:00.000,Edmondson Park  Station,Train,Exit,99317
2024-10-01 00:00:00.000,Emu Plains  Station,Train,Entry,25761
2024-10-01 00:00:00.000,Emu Plains  Station,Train,Exit,24129
2024-10-01 00:00:00.000,Engadine  Station,Train,Entry,28830
2024-10-01 00:00:00.000,Engadine  Station,Train,Exit,27160
2024-10-01 00:00:00.000,Epping  Station,Metro Shared,Entry,370781
2024-10-01 00:00:00.000,Epping  Station,Metro Shared,Exit,363360
2024-10-01 00:00:00.000,Erskineville  Station,Train,Entry,59818
2024-10-01 00:00:00.000,Erskineville  Station,Train,Exit,54486
2024-10-01 00:00:00.000,Exeter  Station,Train,Entry,99
2024-10-01 00:00:00.000,Exeter  Station,Train,Exit,55
2024-10-01 00:00:00.000,Fairfield  Station,Train,Entry,145787
2024-10-01 00:00:00.000,Fairfield  Station,Train,Exit,140688
2024-10-01 00:00:00.000,Fairy Meadow  Station,Train,Entry,2804
2024-10-01 00:00:00.000,Fairy Meadow  Station,Train,Exit,2499
2024-10-01 00:00:00.000,Fassifern  Station,Train,Entry,10378
2024-10-01 00:00:00.000,Fassifern  Station,Train,Exit,9451
2024-10-01 00:00:00.000,Faulconbridge  Station,Train,Entry,2124
2024-10-01 00:00:00.000,Faulconbridge  Station,Train,Exit,2041
2024-10-01 00:00:00.000,Flemington  Station,Train,Entry,123429
2024-10-01 00:00:00.000,Flemington  Station,Train,Exit,117127
2024-10-01 00:00:00.000,Gadigal  Station,Metro,Entry,428539
2024-10-01 00:00:00.000,Gadigal  Station,Metro,Exit,442931
2024-10-01 00:00:00.000,Gerringong  Station,Train,Entry,1178
2024-10-01 00:00:00.000,Gerringong  Station,Train,Exit,1216
2024-10-01 00:00:00.000,Glenbrook  Station,Train,Entry,9883
2024-10-01 00:00:00.000,Glenbrook  Station,Train,Exit,8897
2024-10-01 00:00:00.000,Glenfield  Station,Train,Entry,128650
2024-10-01 00:00:00.000,Glenfield  Station,Train,Exit,119715
2024-10-01 00:00:00.000,Gordon  Station,Train,Entry,155906
2024-10-01 00:00:00.000,Gordon  Station,Train,Exit,153138
2024-10-01 00:00:00.000,Gosford  Station,Train,Entry,106077
2024-10-01 00:00:00.000,Gosford  Station,Train,Exit,104229
2024-10-01 00:00:00.000,Goulburn  Station,Train,Entry,1116
2024-10-01 00:00:00.000,Goulburn  Station,Train,Exit,801
2024-10-01 00:00:00.000,Granville  Station,Train,Entry,178732
2024-10-01 00:00:00.000,Granville  Station,Train,Exit,167978
2024-10-01 00:00:00.000,Green Square  Station,Train,Entry,258723
2024-10-01 00:00:00.000,Green Square  Station,Train,Exit,252479
2024-10-01 00:00:00.000,Greta  Station,Train,Entry,Less than 50
2024-10-01 00:00:00.000,Greta  Station,Train,Exit,Less than 50
2024-10-01 00:00:00.000,Guildford  Station,Train,Entry,73897
2024-10-01 00:00:00.000,Guildford  Station,Train,Exit,66928
2024-10-01 00:00:00.000,Gymea  Station,Train,Entry,45453
2024-10-01 00:00:00.000,Gymea  Station,Train,Exit,41969
2024-10-01 00:00:00.000,Hamilton  Station,Train,Entry,17000
2024-10-01 00:00:00.000,Hamilton  Station,Train,Exit,17057
2024-10-01 00:00:00.000,Harris Park  Station,Train,Entry,71293
2024-10-01 00:00:00.000,Harris Park  Station,Train,Exit,73349
2024-10-01 00:00:00.000,Hawkesbury River  Station,Train,Entry,7577
2024-10-01 00:00:00.000,Hawkesbury River  Station,Train,Exit,7357
2024-10-01 00:00:00.000,Hazelbrook  Station,Train,Entry,6180
2024-10-01 00:00:00.000,Hazelbrook  Station,Train,Exit,5684
2024-10-01 00:00:00.000,Heathcote  Station,Train,Entry,12439
2024-10-01 00:00:00.000,Heathcote  Station,Train,Exit,12131
2024-10-01 00:00:00.000,Helensburgh  Station,Train,Entry,9937
