Station,Entry_Exit,Trip,Month,Year
Leightonfield Station,Entry,5410,10,2024
Leightonfield Station,Exit,5277,10,2024
Leppington Station,Entry,100687,10,2024
Leppington Station,Exit,96542,10,2024
Leumeah Station,Entry,60330,10,2024
Leumeah Station,Exit,57067,10,2024
Lewisham Station,Entry,64866,10,2024
Lewisham Station,Exit,61274,10,2024
Lidcombe Station,Entry,424036,10,2024
Lidcombe Station,Exit,426129,10,2024
Lindfield Station,Entry,91654,10,2024
Lindfield Station,Exit,90037,10,2024
Liverpool Station,Entry,215085,10,2024
Liverpool Station,Exit,211290,10,2024
Loftus Station,Entry,8967,10,2024
Loftus Station,Exit,8279,10,2024
Macarthur Station,Entry,73628,10,2024
Macarthur Station,Exit,72263,10,2024
Macdonaldtown Station,Entry,25478,10,2024
Macdonaldtown Station,Exit,25191,10,2024
Macquarie Fields Station,Entry,22710,10,2024
Macquarie Fields Station,Exit,21924,10,2024
Marayong Station,Entry,25103,10,2024
Marayong Station,Exit,22802,10,2024
Martin Place Station,Entry,820203,10,2024
Martin Place Station,Exit,906918,10,2024
Mascot Station,Entry,416908,10,2024
Mascot Station,Exit,420260,10,2024
Meadowbank Station,Entry,123209,10,2024
Meadowbank Station,Exit,111662,10,2024
Merrylands Station,Entry,155143,10,2024
Merrylands Station,Exit,151062,10,2024
Milsons Point Station,Entry,189168,10,2024
Milsons Point Station,Exit,199826,10,2024
Minto Station,Entry,69559,10,2024
Minto Station,Exit,66779,10,2024
Miranda Station,Entry,87069,10,2024
Miranda Station,Exit,89762,10,2024
Mortdale Station,Entry,80640,10,2024
Mortdale Station,Exit,73597,10,2024
Mount Colah Station,Entry,14224,10,2024
Mount Colah Station,Exit,12767,10,2024
Mount Druitt Station,Entry,156186,10,2024
Mount Druitt Station,Exit,154516,10,2024
Mount Kuring-gai Station,Entry,5462,10,2024
Mount Kuring-gai Station,Exit,5394,10,2024
Mulgrave Station,Entry,6539,10,2024
Mulgrave Station,Exit,6126,10,2024
Museum Station,Entry,238780,10,2024
Museum Station,Exit,266589,10,2024
Narwee Station,Entry,44765,10,2024
Narwee Station,Exit,40702,10,2024
Newtown Station,Entry,239551,10,2024
Newtown Station,Exit,272517,10,2024
Normanhurst Station,Entry,26786,10,2024
Normanhurst Station,Exit,21692,10,2024
North Strathfield Station,Entry,64269,10,2024
North Strathfield Station,Exit,63210,10,2024
North Sydney Station,Entry,288559,10,2024
North Sydney Station,Exit,306935,10,2024
Oatley Station,Entry,44427,10,2024
Oatley Station,Exit,41636,10,2024
Olympic Park Station,Entry,97160,10,2024
Olympic Park Station,Exit,130364,10,2024
Padstow Station,Entry,65535,10,2024
Padstow Station,Exit,61086,10,2024
Panania Station,Entry,39282,10,2024
