Station,Entry_Exit,Trip,Month,Year
Chatswood Station,Exit,774126,12,2024
Cheltenham Station,Entry,16152,12,2024
Cheltenham Station,Exit,13988,12,2024
Chester Hill Station,Entry,22626,12,2024
Chester Hill Station,Exit,20985,12,2024
Circular Quay Station,Entry,657619,12,2024
Circular Quay Station,Exit,670078,12,2024
Clarendon Station,Entry,1175,12,2024
Clarendon Station,Exit,1138,12,2024
Clyde Station,Entry,19084,12,2024
Clyde Station,Exit,18014,12,2024
Como Station,Entry,12619,12,2024
Como Station,Exit,10370,12,2024
Concord West Station,Entry,41062,12,2024
Concord West Station,Exit,38369,12,2024
Cronulla Station,Entry,67549,12,2024
Cronulla Station,Exit,68113,12,2024
Croydon Station,Entry,44164,12,2024
Croydon Station,Exit,40471,12,2024
Denistone Station,Entry,10601,12,2024
Denistone Station,Exit,9603,12,2024
Doonside Station,Entry,57118,12,2024
Doonside Station,Exit,50912,12,2024
East Hills Station,Entry,16813,12,2024
East Hills Station,Exit,15061,12,2024
East Richmond Station,Entry,3539,12,2024
East Richmond Station,Exit,3677,12,2024
Eastwood Station,Entry,152135,12,2024
Eastwood Station,Exit,151508,12,2024
Edgecliff Station,Entry,176446,12,2024
Edgecliff Station,Exit,176126,12,2024
Edmondson Park Station,Entry,82298,12,2024
Edmondson Park Station,Exit,77648,12,2024
Emu Plains Station,Entry,18285,12,2024
Emu Plains Station,Exit,16863,12,2024
Engadine Station,Entry,23770,12,2024
Engadine Station,Exit,21441,12,2024
Epping Station,Entry,319785,12,2024
Epping Station,Exit,309723,12,2024
Erskineville Station,Entry,48553,12,2024
Erskineville Station,Exit,44085,12,2024
Fairfield Station,Entry,123675,12,2024
Fairfield Station,Exit,115988,12,2024
Flemington Station,Entry,117407,12,2024
Flemington Station,Exit,110865,12,2024
Glenfield Station,Entry,111213,12,2024
Glenfield Station,Exit,101949,12,2024
Gordon Station,Entry,126046,12,2024
Gordon Station,Exit,120434,12,2024
Granville Station,Entry,148487,12,2024
Granville Station,Exit,135639,12,2024
Green Square Station,Entry,203103,12,2024
Green Square Station,Exit,192787,12,2024
Guildford Station,Entry,62371,12,2024
Guildford Station,Exit,54348,12,2024
Gymea Station,Entry,37336,12,2024
Gymea Station,Exit,33731,12,2024
Harris Park Station,Entry,69436,12,2024
Harris Park Station,Exit,70194,12,2024
Heathcote Station,Entry,10651,12,2024
Heathcote Station,Exit,10079,12,2024
Helensburgh Station,Entry,7850,12,2024
Helensburgh Station,Exit,6824,12,2024
Holsworthy Station,Entry,58878,12,2024
Holsworthy Station,Exit,53949,12,2024
Homebush Station,Entry,87019,12,2024
Homebush Station,Exit,81392,12,2024
Hornsby Station,Entry,250757,12,2024
Hornsby Station,Exit,248642,12,2024
Hurstville Station,Entry,427099,12,2024
Hurstville Station,Exit,426572,12,2024
Ingleburn Station,Entry,63008,12,2024
Ingleburn Station,Exit,61269,12,2024
Jannali Station,Entry,46270,12,2024
Jannali Station,Exit,42382,12,2024
Killara Station,Entry,38784,12,2024
Killara Station,Exit,36495,12,2024
Kings Cross Station,Entry,320457,12,2024
Kings Cross Station,Exit,331477,12,2024
Kingsgrove Station,Entry,47851,12,2024
Kingsgrove Station,Exit,44640,12,2024
Kingswood Station,Entry,43177,12,2024
Kingswood Station,Exit,39513,12,2024
Kirrawee Station,Entry,35784,12,2024
Kirrawee Station,Exit,33612,12,2024
Kogarah Station,Entry,224923,12,2024
Kogarah Station,Exit,212366,12,2024
Leightonfield Station,Entry,4940,12,2024
Leightonfield Station,Exit,4498,12,2024
Leppington Station,Entry,83136,12,2024
Leppington Station,Exit,78259,12,2024
Leumeah Station,Entry,48275,12,2024
Leumeah Station,Exit,44736,12,2024
Lewisham Station,Entry,53247,12,2024
Lewisham Station,Exit,48043,12,2024
Lidcombe Station,Entry,331489,12,2024
Lidcombe Station,Exit,321670,12,2024
Lindfield Station,Entry,76511,12,2024
Lindfield Station,Exit,74010,12,2024
Liverpool Station,Entry,181514,12,2024
Liverpool Station,Exit,176639,12,2024
Loftus Station,Entry,6612,12,2024
Loftus Station,Exit,5662,12,2024
Macarthur Station,Entry,61779,12,2024
Macarthur Station,Exit,61169,12,2024
Macdonaldtown Station,Entry,24464,12,2024
Macdonaldtown Station,Exit,24367,12,2024
Macquarie Fields Station,Entry,19656,12,2024
Macquarie Fields Station,Exit,18358,12,2024
Marayong Station,Entry,20339,12,2024
Marayong Station,Exit,18166,12,2024
Marrickville Station,Entry,25,12,2024
Marrickville Station,Exit,25,12,2024
Martin Place Station,Entry,745993,12,2024
Martin Place Station,Exit,882299,12,2024
Mascot Station,Entry,361782,12,2024
Mascot Station,Exit,355622,12,2024
Meadowbank Station,Entry,101241,12,2024
Meadowbank Station,Exit,91161,12,2024
Merrylands Station,Entry,133927,12,2024
Merrylands Station,Exit,128409,12,2024
Milsons Point Station,Entry,158938,12,2024
Milsons Point Station,Exit,182755,12,2024
Minto Station,Entry,59798,12,2024
Minto Station,Exit,55963,12,2024
Miranda Station,Entry,85243,12,2024
Miranda Station,Exit,88240,12,2024
Mortdale Station,Entry,70119,12,2024
Mortdale Station,Exit,63176,12,2024
Mount Colah Station,Entry,11288,12,2024
Mount Colah Station,Exit,9955,12,2024
Mount Druitt Station,Entry,131043,12,2024
Mount Druitt Station,Exit,128245,12,2024
Mount Kuring-gai Station,Entry,4458,12,2024
Mount Kuring-gai Station,Exit,4183,12,2024
Mulgrave Station,Entry,4524,12,2024
Mulgrave Station,Exit,4275,12,2024
Museum Station,Entry,199960,12,2024
Museum Station,Exit,234397,12,2024
Narwee Station,Entry,39087,12,2024
Narwee Station,Exit,35336,12,2024
Newtown Station,Entry,210546,12,2024
Newtown Station,Exit,238002,12,2024
Normanhurst Station,Entry,20777,12,2024
Normanhurst Station,Exit,17619,12,2024
North Strathfield Station,Entry,52527,12,2024
North Strathfield Station,Exit,51563,12,2024
North Sydney Station,Entry,200493,12,2024
North Sydney Station,Exit,234204,12,2024
Oatley Station,Entry,36363,12,2024
Oatley Station,Exit,32951,12,2024
Olympic Park Station,Entry,151516,12,2024
Olympic Park Station,Exit,154435,12,2024
Padstow Station,Entry,53930,12,2024
Padstow Station,Exit,48716,12,2024
Panania Station,Entry,32294,12,2024
Panania Station,Exit,29272,12,2024
Parramatta Station,Entry,851953,12,2024
Parramatta Station,Exit,863234,12,2024
Pendle Hill Station,Entry,63099,12,2024
Pendle Hill Station,Exit,57630,12,2024
Pennant Hills Station,Entry,32988,12,2024
Pennant Hills Station,Exit,31203,12,2024
Penrith Station,Entry,157637,12,2024
Penrith Station,Exit,159608,12,2024
Penshurst Station,Entry,62313,12,2024
Penshurst Station,Exit,52264,12,2024
Petersham Station,Entry,70435,12,2024
Petersham Station,Exit,66731,12,2024
Pymble Station,Entry,38780,12,2024
Pymble Station,Exit,35642,12,2024
Quakers Hill Station,Entry,46588,12,2024
Quakers Hill Station,Exit,40959,12,2024
Redfern Station,Entry,426692,12,2024
Redfern Station,Exit,458399,12,2024
Regents Park Station,Entry,28538,12,2024
Regents Park Station,Exit,26559,12,2024
Revesby Station,Entry,114240,12,2024
Revesby Station,Exit,110991,12,2024
Rhodes Station,Entry,201043,12,2024
Rhodes Station,Exit,195434,12,2024
Richmond Station,Entry,14473,12,2024
Richmond Station,Exit,13488,12,2024
Riverstone Station,Entry,22799,12,2024
Riverstone Station,Exit,20685,12,2024
Riverwood Station,Entry,71448,12,2024
Riverwood Station,Exit,67006,12,2024
Rockdale Station,Entry,222093,12,2024
Rockdale Station,Exit,210059,12,2024
Rooty Hill Station,Entry,73942,12,2024
Rooty Hill Station,Exit,68511,12,2024
Roseville Station,Entry,55184,12,2024
Roseville Station,Exit,52279,12,2024
Schofields Station,Entry,74593,12,2024
Schofields Station,Exit,69538,12,2024
Sefton Station,Entry,15455,12,2024
Sefton Station,Exit,13915,12,2024
Seven Hills Station,Entry,113413,12,2024
Seven Hills Station,Exit,107299,12,2024
St James Station,Entry,184136,12,2024
St James Station,Exit,212228,12,2024
St Leonards Station,Entry,201990,12,2024
St Leonards Station,Exit,202497,12,2024
St Marys Station,Entry,85854,12,2024
St Marys Station,Exit,82972,12,2024
St Peters Station,Entry,55372,12,2024
St Peters Station,Exit,48347,12,2024
Stanmore Station,Entry,60237,12,2024
Stanmore Station,Exit,55030,12,2024
Strathfield Station,Entry,553990,12,2024
Strathfield Station,Exit,530759,12,2024
Summer Hill Station,Entry,71169,12,2024
Summer Hill Station,Exit,65553,12,2024
Sutherland Station,Entry,137043,12,2024
Sutherland Station,Exit,135435,12,2024
Sydenham Station,Entry,467490,12,2024
Sydenham Station,Exit,449449,12,2024
Tempe Station,Entry,28652,12,2024
Tempe Station,Exit,26394,12,2024
Thornleigh Station,Entry,32966,12,2024
Thornleigh Station,Exit,31452,12,2024
Toongabbie Station,Entry,58394,12,2024
Toongabbie Station,Exit,53571,12,2024
Town Hall Station,Entry,1768433,12,2024
Town Hall Station,Exit,1696527,12,2024
Turramurra Station,Entry,71020,12,2024
Turramurra Station,Exit,66121,12,2024
Turrella Station,Entry,23131,12,2024
Turrella Station,Exit,20767,12,2024
Villawood Station,Entry,9890,12,2024
Villawood Station,Exit,9550,12,2024
Vineyard Station,Entry,2995,12,2024
Vineyard Station,Exit,2798,12,2024
Wahroonga Station,Entry,32756,12,2024
Wahroonga Station,Exit,31597,12,2024
Waitara Station,Entry,55042,12,2024
Waitara Station,Exit,51472,12,2024
Warrawee Station,Entry,13878,12,2024
Warrawee Station,Exit,13224,12,2024
Warwick Farm Station,Entry,49085,12,2024
Warwick Farm Station,Exit,43643,12,2024
Waterfall Station,Entry,7961,12,2024
Waterfall Station,Exit,7926,12,2024
Waverton Station,Entry,43460,12,2024
Waverton Station,Exit,46119,12,2024
Wentworthville Station,Entry,79973,12,2024
Wentworthville Station,Exit,74037,12,2024
Werrington Station,Entry,25348,12,2024
Werrington Station,Exit,22267,12,2024
West Ryde Station,Entry,98381,12,2024
West Ryde Station,Exit,98194,12,2024
Westmead Station,Entry,134035,12,2024
Westmead Station,Exit,125405,12,2024
Windsor Station,Entry,13908,12,2024
Windsor Station,Exit,13313,12,2024
Wolli Creek Station,Entry,211312,12,2024
Wolli Creek Station,Exit,208342,12,2024
Wollstonecraft Station,Entry,43358,12,2024
Wollstonecraft Station,Exit,39399,12,2024
Woolooware Station,Entry,23485,12,2024
Woolooware Station,Exit,21630,12,2024
Wynyard Station,Entry,1009851,12,2024
Wynyard Station,Exit,1107752,12,2024
Yagoona Station,Entry,17815,12,2024
Yagoona Station,Exit,15606,12,2024
Yennora Station,Entry,21752,12,2024
Yennora Station,Exit,22309,12,2024
Allawah Station,Entry,46319,1,2025
Allawah Station,Exit,42699,1,2025
Arncliffe Station,Entry,43694,1,2025
Arncliffe Station,Exit,39714,1,2025
Artarmon Station,Entry,78372,1,2025
Artarmon Station,Exit,74882,1,2025
Ashfield Station,Entry,213037,1,2025
Ashfield Station,Exit,214257,1,2025
Asquith Station,Entry,19129,1,2025
Asquith Station,Exit,17311,1,2025
Auburn Station,Entry,308141,1,2025
Auburn Station,Exit,293768,1,2025
Banksia Station,Entry,27402,1,2025
Banksia Station,Exit,26242,1,2025
Bankstown Station,Entry,28217,1,2025
Bankstown Station,Exit,29625,1,2025
Bardwell Park Station,Entry,20485,1,2025
Bardwell Park Station,Exit,18921,1,2025
Beecroft Station,Entry,21965,1,2025
Beecroft Station,Exit,20985,1,2025
Belmore Station,Entry,25,1,2025
Belmore Station,Exit,25,1,2025
Berala Station,Entry,33941,1,2025
Berala Station,Exit,30550,1,2025
Berowra Station,Entry,19959,1,2025
Berowra Station,Exit,18279,1,2025
Beverly Hills Station,Entry,38609,1,2025
Beverly Hills Station,Exit,35120,1,2025
Bexley North Station,Entry,26193,1,2025
Bexley North Station,Exit,23754,1,2025
Birrong Station,Entry,3623,1,2025
Birrong Station,Exit,3786,1,2025
Blacktown Station,Entry,288700,1,2025
Blacktown Station,Exit,299968,1,2025
Bondi Junction Station,Entry,515386,1,2025
Bondi Junction Station,Exit,513010,1,2025
Burwood Station,Entry,418591,1,2025
Burwood Station,Exit,424480,1,2025
Cabramatta Station,Entry,163585,1,2025
Cabramatta Station,Exit,163071,1,2025
Campbelltown Station,Entry,114901,1,2025
Campbelltown Station,Exit,114276,1,2025
Campsie Station,Entry,25,1,2025
Campsie Station,Exit,25,1,2025
Canley Vale Station,Entry,43806,1,2025
Canley Vale Station,Exit,39815,1,2025
Canterbury Station,Entry,25,1,2025
Canterbury Station,Exit,25,1,2025
Caringbah Station,Entry,44748,1,2025
Caringbah Station,Exit,43490,1,2025
Carlton Station,Entry,50648,1,2025
Carlton Station,Exit,44771,1,2025
Carramar Station,Entry,11730,1,2025
Carramar Station,Exit,10214,1,2025
Casula Station,Entry,6987,1,2025
Casula Station,Exit,6381,1,2025
Central Station,Entry,1646774,1,2025
Central Station,Exit,1706386,1,2025
Chatswood Station,Entry,686826,1,2025
Chatswood Station,Exit,711607,1,2025
Cheltenham Station,Entry,9918,1,2025
Cheltenham Station,Exit,9272,1,2025
Chester Hill Station,Entry,21390,1,2025
Chester Hill Station,Exit,20221,1,2025
Circular Quay Station,Entry,606130,1,2025
Circular Quay Station,Exit,590125,1,2025
Clarendon Station,Entry,1034,1,2025
Clarendon Station,Exit,1037,1,2025
Clyde Station,Entry,17913,1,2025
Clyde Station,Exit,18479,1,2025
Como Station,Entry,11276,1,2025
Como Station,Exit,9562,1,2025
Concord West Station,Entry,33780,1,2025
Concord West Station,Exit,32666,1,2025
Cronulla Station,Entry,66745,1,2025
Cronulla Station,Exit,68963,1,2025
Croydon Station,Entry,39048,1,2025
Croydon Station,Exit,35802,1,2025
Denistone Station,Entry,8251,1,2025
Denistone Station,Exit,7799,1,2025
Doonside Station,Entry,48983,1,2025
Doonside Station,Exit,43313,1,2025
Dulwich Hill Station,Entry,25,1,2025
Dulwich Hill Station,Exit,25,1,2025
East Hills Station,Entry,15459,1,2025
East Hills Station,Exit,14082,1,2025
East Richmond Station,Entry,2576,1,2025
East Richmond Station,Exit,2912,1,2025
Eastwood Station,Entry,128679,1,2025
Eastwood Station,Exit,128725,1,2025
Edgecliff Station,Entry,164809,1,2025
Edgecliff Station,Exit,158688,1,2025
Edmondson Park Station,Entry,75076,1,2025
Edmondson Park Station,Exit,72669,1,2025
Emu Plains Station,Entry,17780,1,2025
Emu Plains Station,Exit,16474,1,2025
Engadine Station,Entry,21964,1,2025
Engadine Station,Exit,20407,1,2025
Epping Station,Entry,289148,1,2025
Epping Station,Exit,286363,1,2025
Erskineville Station,Entry,46159,1,2025
Erskineville Station,Exit,42037,1,2025
Fairfield Station,Entry,108333,1,2025
Fairfield Station,Exit,103697,1,2025
Flemington Station,Entry,108946,1,2025
Flemington Station,Exit,105209,1,2025
Glenfield Station,Entry,94596,1,2025
Glenfield Station,Exit,91339,1,2025
Gordon Station,Entry,112184,1,2025
Gordon Station,Exit,111271,1,2025
Granville Station,Entry,186220,1,2025
Granville Station,Exit,180670,1,2025
Green Square Station,Entry,180238,1,2025
Green Square Station,Exit,174719,1,2025
Guildford Station,Entry,53927,1,2025
Guildford Station,Exit,48089,1,2025
Gymea Station,Entry,35569,1,2025
Gymea Station,Exit,32872,1,2025
Harris Park Station,Entry,53983,1,2025
Harris Park Station,Exit,56393,1,2025
Heathcote Station,Entry,9642,1,2025
Heathcote Station,Exit,9547,1,2025
Helensburgh Station,Entry,7790,1,2025
Helensburgh Station,Exit,7236,1,2025
Holsworthy Station,Entry,52642,1,2025
Holsworthy Station,Exit,50666,1,2025
Homebush Station,Entry,79383,1,2025
Homebush Station,Exit,76002,1,2025
Hornsby Station,Entry,227919,1,2025
Hornsby Station,Exit,230325,1,2025
Hurlstone Park Station,Entry,25,1,2025
Hurlstone Park Station,Exit,25,1,2025
Hurstville Station,Entry,388336,1,2025
Hurstville Station,Exit,391905,1,2025
Ingleburn Station,Entry,57850,1,2025
Ingleburn Station,Exit,57586,1,2025
Jannali Station,Entry,42620,1,2025
Jannali Station,Exit,39981,1,2025
Killara Station,Entry,33589,1,2025
Killara Station,Exit,32588,1,2025
Kings Cross Station,Entry,303254,1,2025
Kings Cross Station,Exit,312603,1,2025
Kingsgrove Station,Entry,42178,1,2025
Kingsgrove Station,Exit,39999,1,2025
Kingswood Station,Entry,37508,1,2025
Kingswood Station,Exit,35003,1,2025
Kirrawee Station,Entry,34059,1,2025
Kirrawee Station,Exit,33106,1,2025
Kogarah Station,Entry,188079,1,2025
Kogarah Station,Exit,180855,1,2025
Lakemba Station,Entry,25,1,2025
Lakemba Station,Exit,25,1,2025
Leightonfield Station,Entry,4301,1,2025
Leightonfield Station,Exit,4360,1,2025
Leppington Station,Entry,77046,1,2025
Leppington Station,Exit,73819,1,2025
Leumeah Station,Entry,45757,1,2025
Leumeah Station,Exit,43264,1,2025
Lewisham Station,Entry,47134,1,2025
Lewisham Station,Exit,44361,1,2025
Lidcombe Station,Entry,302755,1,2025
Lidcombe Station,Exit,301760,1,2025
Lindfield Station,Entry,67254,1,2025
Lindfield Station,Exit,66964,1,2025
Liverpool Station,Entry,165702,1,2025
Liverpool Station,Exit,162357,1,2025
Loftus Station,Entry,5529,1,2025
Loftus Station,Exit,5061,1,2025
Macarthur Station,Entry,53097,1,2025
Macarthur Station,Exit,52536,1,2025
Macdonaldtown Station,Entry,21879,1,2025
Macdonaldtown Station,Exit,23298,1,2025
Macquarie Fields Station,Entry,17829,1,2025
Macquarie Fields Station,Exit,17636,1,2025
Marayong Station,Entry,17822,1,2025
Marayong Station,Exit,16527,1,2025
Marrickville Station,Entry,50,1,2025
Marrickville Station,Exit,25,1,2025
Martin Place Station,Entry,731062,1,2025
Martin Place Station,Exit,798887,1,2025
Mascot Station,Entry,331895,1,2025
Mascot Station,Exit,333217,1,2025
Meadowbank Station,Entry,84750,1,2025
Meadowbank Station,Exit,75705,1,2025
Merrylands Station,Entry,119917,1,2025
Merrylands Station,Exit,116999,1,2025
Milsons Point Station,Entry,159743,1,2025
Milsons Point Station,Exit,163965,1,2025
Minto Station,Entry,54893,1,2025
Minto Station,Exit,52469,1,2025
Miranda Station,Entry,75944,1,2025
Miranda Station,Exit,79696,1,2025
Mortdale Station,Entry,63465,1,2025
Mortdale Station,Exit,58027,1,2025
Mount Colah Station,Entry,9284,1,2025
Mount Colah Station,Exit,8523,1,2025
Mount Druitt Station,Entry,110609,1,2025
Mount Druitt Station,Exit,108008,1,2025
Mount Kuring-gai Station,Entry,3789,1,2025
Mount Kuring-gai Station,Exit,3495,1,2025
Mulgrave Station,Entry,3822,1,2025
Mulgrave Station,Exit,3726,1,2025
Museum Station,Entry,188058,1,2025
Museum Station,Exit,214947,1,2025
Narwee Station,Entry,36110,1,2025
Narwee Station,Exit,32627,1,2025
Newtown Station,Entry,203602,1,2025
Newtown Station,Exit,235440,1,2025
Normanhurst Station,Entry,16152,1,2025
Normanhurst Station,Exit,13896,1,2025
North Strathfield Station,Entry,45837,1,2025
North Strathfield Station,Exit,46962,1,2025
North Sydney Station,Entry,197166,1,2025
North Sydney Station,Exit,202147,1,2025
Oatley Station,Entry,31091,1,2025
Oatley Station,Exit,29223,1,2025
Olympic Park Station,Entry,55528,1,2025
Olympic Park Station,Exit,63059,1,2025
Padstow Station,Entry,49038,1,2025
Padstow Station,Exit,44905,1,2025
Panania Station,Entry,28295,1,2025
Panania Station,Exit,26103,1,2025
Parramatta Station,Entry,735784,1,2025
Parramatta Station,Exit,746616,1,2025
Pendle Hill Station,Entry,53306,1,2025
Pendle Hill Station,Exit,51064,1,2025
Pennant Hills Station,Entry,26933,1,2025
Pennant Hills Station,Exit,25924,1,2025
Penrith Station,Entry,138479,1,2025
Penrith Station,Exit,142256,1,2025
Penshurst Station,Entry,54997,1,2025
Penshurst Station,Exit,47722,1,2025
Petersham Station,Entry,58606,1,2025
Petersham Station,Exit,56665,1,2025
Punchbowl Station,Entry,25,1,2025
Punchbowl Station,Exit,25,1,2025
Pymble Station,Entry,35340,1,2025
Pymble Station,Exit,33369,1,2025
Quakers Hill Station,Entry,39676,1,2025
Quakers Hill Station,Exit,35746,1,2025
Redfern Station,Entry,396437,1,2025
Redfern Station,Exit,432688,1,2025
Regents Park Station,Entry,26851,1,2025
Regents Park Station,Exit,25065,1,2025
Revesby Station,Entry,106276,1,2025
Revesby Station,Exit,107883,1,2025
Rhodes Station,Entry,178848,1,2025
Rhodes Station,Exit,173999,1,2025
Richmond Station,Entry,12896,1,2025
Richmond Station,Exit,12102,1,2025
Riverstone Station,Entry,19743,1,2025
Riverstone Station,Exit,18463,1,2025
Riverwood Station,Entry,66340,1,2025
Riverwood Station,Exit,62827,1,2025
Rockdale Station,Entry,195735,1,2025
Rockdale Station,Exit,192230,1,2025
Rooty Hill Station,Entry,64063,1,2025
Rooty Hill Station,Exit,60464,1,2025
Roseville Station,Entry,48750,1,2025
Roseville Station,Exit,47895,1,2025
Schofields Station,Entry,63987,1,2025
Schofields Station,Exit,61760,1,2025
Sefton Station,Entry,13618,1,2025
Sefton Station,Exit,12722,1,2025
Seven Hills Station,Entry,99913,1,2025
Seven Hills Station,Exit,95916,1,2025
St James Station,Entry,146946,1,2025
St James Station,Exit,159046,1,2025
St Leonards Station,Entry,183508,1,2025
St Leonards Station,Exit,184018,1,2025
St Marys Station,Entry,75127,1,2025
St Marys Station,Exit,73038,1,2025
St Peters Station,Entry,53399,1,2025
St Peters Station,Exit,47404,1,2025
Stanmore Station,Entry,54333,1,2025
Stanmore Station,Exit,50899,1,2025
Strathfield Station,Entry,496370,1,2025
Strathfield Station,Exit,491121,1,2025
Summer Hill Station,Entry,62732,1,2025
Summer Hill Station,Exit,59519,1,2025
Sutherland Station,Entry,122011,1,2025
Sutherland Station,Exit,120182,1,2025
Sydenham Station,Entry,452182,1,2025
Sydenham Station,Exit,452565,1,2025
Tempe Station,Entry,23491,1,2025
Tempe Station,Exit,24258,1,2025
Thornleigh Station,Entry,29232,1,2025
Thornleigh Station,Exit,28018,1,2025
Toongabbie Station,Entry,50784,1,2025
Toongabbie Station,Exit,48577,1,2025
Town Hall Station,Entry,1554600,1,2025
Town Hall Station,Exit,1463864,1,2025
Turramurra Station,Entry,63269,1,2025
Turramurra Station,Exit,60602,1,2025
Turrella Station,Entry,21554,1,2025
Turrella Station,Exit,19357,1,2025
Villawood Station,Entry,9456,1,2025
Villawood Station,Exit,9405,1,2025
Vineyard Station,Entry,2539,1,2025
Vineyard Station,Exit,2440,1,2025
Wahroonga Station,Entry,29864,1,2025
Wahroonga Station,Exit,29385,1,2025
Waitara Station,Entry,49320,1,2025
Waitara Station,Exit,46133,1,2025
Warrawee Station,Entry,12563,1,2025
Warrawee Station,Exit,12560,1,2025
Warwick Farm Station,Entry,45359,1,2025
Warwick Farm Station,Exit,41390,1,2025
Waterfall Station,Entry,7344,1,2025
Waterfall Station,Exit,7709,1,2025
Waverton Station,Entry,40459,1,2025
Waverton Station,Exit,33745,1,2025
Wentworthville Station,Entry,68952,1,2025
Wentworthville Station,Exit,67481,1,2025
Werrington Station,Entry,21821,1,2025
Werrington Station,Exit,19405,1,2025
West Ryde Station,Entry,81408,1,2025
West Ryde Station,Exit,81605,1,2025
Westmead Station,Entry,117457,1,2025
Westmead Station,Exit,112555,1,2025
Wiley Park Station,Entry,25,1,2025
Wiley Park Station,Exit,25,1,2025
Windsor Station,Entry,12242,1,2025
Windsor Station,Exit,12002,1,2025
Wolli Creek Station,Entry,196565,1,2025
Wolli Creek Station,Exit,200138,1,2025
Wollstonecraft Station,Entry,39721,1,2025
Wollstonecraft Station,Exit,36000,1,2025
Woolooware Station,Entry,21580,1,2025
Woolooware Station,Exit,20941,1,2025
Wynyard Station,Entry,948609,1,2025
Wynyard Station,Exit,965432,1,2025
Yagoona Station,Entry,8488,1,2025
Yagoona Station,Exit,7849,1,2025
Yennora Station,Entry,20093,1,2025
Yennora Station,Exit,21115,1,2025
Allawah Station,Entry,54471,2,2025
Allawah Station,Exit,49029,2,2025
Arncliffe Station,Entry,51112,2,2025
Arncliffe Station,Exit,46393,2,2025
Artarmon Station,Entry,92454,2,2025
Artarmon Station,Exit,87593,2,2025
Ashfield Station,Entry,237577,2,2025
Ashfield Station,Exit,236851,2,2025
Asquith Station,Entry,27885,2,2025
Asquith Station,Exit,24860,2,2025
Auburn Station,Entry,312275,2,2025
Auburn Station,Exit,295670,2,2025
Banksia Station,Entry,31911,2,2025
Banksia Station,Exit,29037,2,2025
Bankstown Station,Entry,60515,2,2025
Bankstown Station,Exit,63182,2,2025
Bardwell Park Station,Entry,23546,2,2025
Bardwell Park Station,Exit,21785,2,2025
Beecroft Station,Entry,28832,2,2025
Beecroft Station,Exit,27520,2,2025
Berala Station,Entry,39643,2,2025
Berala Station,Exit,37430,2,2025
Berowra Station,Entry,25353,2,2025
Berowra Station,Exit,23036,2,2025
Beverly Hills Station,Entry,42693,2,2025
Beverly Hills Station,Exit,37430,2,2025
Bexley North Station,Entry,27839,2,2025
Bexley North Station,Exit,25053,2,2025
Birrong Station,Entry,8996,2,2025
Birrong Station,Exit,9282,2,2025
Blacktown Station,Entry,313136,2,2025
Blacktown Station,Exit,324491,2,2025
Bondi Junction Station,Entry,547210,2,2025
Bondi Junction Station,Exit,539879,2,2025
Burwood Station,Entry,445399,2,2025
Burwood Station,Exit,455442,2,2025
Cabramatta Station,Entry,162086,2,2025
Cabramatta Station,Exit,159905,2,2025
Campbelltown Station,Entry,122211,2,2025
Campbelltown Station,Exit,120280,2,2025
Campsie Station,Entry,25,2,2025
Campsie Station,Exit,25,2,2025
Canley Vale Station,Entry,51496,2,2025
Canley Vale Station,Exit,46659,2,2025
Canterbury Station,Entry,25,2,2025
Canterbury Station,Exit,25,2,2025
Caringbah Station,Entry,54737,2,2025
Caringbah Station,Exit,51396,2,2025
Carlton Station,Entry,57167,2,2025
Carlton Station,Exit,52296,2,2025
Carramar Station,Entry,12271,2,2025
Carramar Station,Exit,10561,2,2025
Casula Station,Entry,8586,2,2025
Casula Station,Exit,7559,2,2025
Central Station,Entry,1958407,2,2025
Central Station,Exit,2031464,2,2025
Chatswood Station,Entry,776294,2,2025
Chatswood Station,Exit,803153,2,2025
Cheltenham Station,Entry,21314,2,2025
Cheltenham Station,Exit,17545,2,2025
Chester Hill Station,Entry,23977,2,2025
Chester Hill Station,Exit,22465,2,2025
Circular Quay Station,Entry,542829,2,2025
Circular Quay Station,Exit,527070,2,2025
Clarendon Station,Entry,1069,2,2025
Clarendon Station,Exit,1115,2,2025
Clyde Station,Entry,18797,2,2025
Clyde Station,Exit,17646,2,2025
Como Station,Entry,13906,2,2025
Como Station,Exit,11851,2,2025
Concord West Station,Entry,40163,2,2025
Concord West Station,Exit,37984,2,2025
Cronulla Station,Entry,56620,2,2025
Cronulla Station,Exit,56297,2,2025
Croydon Station,Entry,50911,2,2025
Croydon Station,Exit,46254,2,2025
Denistone Station,Entry,11084,2,2025
Denistone Station,Exit,10196,2,2025
Doonside Station,Entry,56208,2,2025
Doonside Station,Exit,49916,2,2025
East Hills Station,Entry,17662,2,2025
East Hills Station,Exit,16036,2,2025
East Richmond Station,Entry,3884,2,2025
East Richmond Station,Exit,4411,2,2025
Eastwood Station,Entry,143854,2,2025
Eastwood Station,Exit,144125,2,2025
Edgecliff Station,Entry,191782,2,2025
Edgecliff Station,Exit,183528,2,2025
Edmondson Park Station,Entry,89610,2,2025
Edmondson Park Station,Exit,85552,2,2025
Emu Plains Station,Entry,22192,2,2025
Emu Plains Station,Exit,20631,2,2025
Engadine Station,Entry,24816,2,2025
Engadine Station,Exit,23616,2,2025
Epping Station,Entry,367595,2,2025
Epping Station,Exit,362127,2,2025
Erskineville Station,Entry,49760,2,2025
Erskineville Station,Exit,44254,2,2025
