CONTRACT_CODE,REPORTING_PERIOD,TOTAL_PATRONAGE
r12,2022-11,426
r12,2022-12,364
r12,2023-01,343
r12,2023-02,388
r12,2023-03,461
r12,2023-04,291
r12,2023-05,383
r12,2023-06,331
r12,2023-07,325
r12,2023-08,345
r12,2023-09,319
r12,2023-10,313
r12,2023-11,354
r12,2023-12,304
r12,2024-01,287
r12,2024-02,374
r12,2024-03,339
r12,2024-04,338
r12,2024-06,336
r12,2024-07,333
r12,2024-08,364
r12,2024-09,320
r12,2024-11,348
r12,2024-12,277
r12,2025-01,366
r12,2025-02,372
r12,2025-03,355
r12,2025-04,385
r12,2025-05,431
r12,2025-06,377
r12,2025-08,404
r12,2025-09,401
